,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
178,Louis Trichardt,ZA,1616296359,-23.0439,29.9032,65.39,85,72,1.7
179,Katsuura,JP,1616296359,35.1333,140.3,64.99,94,75,14.97
180,Širvintos,LT,1616296359,55.05,24.95,26.01,93,90,17.27
181,Dakar,SN,1616296325,14.6937,-17.4441,66.2,94,0,11.5
182,Tiksi,RU,1616296142,71.6872,128.8694,-14.31,97,100,12.01
183,Port Pirie,AU,1616296205,-33.1833,138.0167,80.6,50,88,6.91
184,Gamba,GA,1616296360,-2.65,10.0,74.37,87,100,7.4
185,Ponta do Sol,PT,1616296141,32.6667,-17.1,55.99,55,67,8.01
186,Thompson,CA,1616295970,55.7435,-97.8558,41.0,48,75,2.04
187,Srednekolymsk,RU,1616296360,67.45,153.6833,3.96,73,0,4.52
188,Smithers,CA,1616296262,54.7804,-127.1743,33.8,51,90,3.44
189,Barsovo,RU,1616296360,61.1667,73.1667,24.8,100,40,5.5
190,Korla,CN,1616296361,41.7597,86.1469,43.05,41,17,5.41
191,Puerto Escondido,MX,1616296361,15.85,-97.0667,77.67,79,16,6.02
192,Puerto Ayora,EC,1616296126,-0.7393,-90.3518,78.01,91,61,3.0
193,Ébolowa,CM,1616296361,2.9,11.15,66.67,98,100,1.07
194,Porbandar,IN,1616296362,21.6422,69.6093,75.2,78,0,6.91
195,Kavieng,PG,1616296362,-2.5744,150.7967,84.24,74,100,8.68
196,Sarankhola,BD,1616296362,22.3082,89.7897,92.16,30,72,4.21
197,Dubbo,AU,1616296363,-32.25,148.6167,68.0,100,90,14.97
198,Harper,LR,1616296148,4.375,-7.7169,78.03,87,100,5.48
199,Jiangyou,CN,1616296363,31.7667,104.7167,57.18,48,100,4.18
200,Goundam,ML,1616296363,16.4145,-3.6708,77.2,13,53,8.95
201,Sunrise Manor,US,1616296363,36.2111,-115.0731,66.2,7,1,12.66
202,Cabedelo,BR,1616296276,-6.9811,-34.8339,77.0,88,20,3.44
203,Waycross,US,1616296364,31.2136,-82.354,50.0,100,90,11.5
204,Bambous Virieux,MU,1616296131,-20.3428,57.7575,80.01,89,40,10.36
205,Anadyr,RU,1616296117,64.75,177.4833,-5.8,77,0,13.42
206,Mossamedes,AO,1616296119,-15.1961,12.1522,72.36,79,64,3.15
207,Gijang,KR,1616296364,35.2442,129.2139,57.2,44,40,16.11
208,Kahului,US,1616296202,20.8947,-156.47,73.4,88,40,16.11
209,Alyangula,AU,1616296365,-13.8483,136.4192,83.75,76,98,9.08
210,Poum,NC,1616296365,-20.2333,164.0167,79.74,74,24,10.07
211,Aksarayskiy,RU,1616296365,46.7924,48.0119,35.6,93,90,4.47
212,Tarko-Sale,RU,1616296366,64.9225,77.785,5.04,94,100,21.52
213,Caibarién,CU,1616296366,22.5206,-79.4669,68.0,83,20,2.3
214,Terråk,NO,1616296366,65.087,12.3715,33.8,64,40,18.41
215,Krasnyy Chikoy,RU,1616296366,50.3643,108.7512,28.69,70,0,4.27
216,Caxito,AO,1616296367,-8.5785,13.6643,80.6,83,75,4.61
217,Santiago de Chuco,PE,1616296367,-8.15,-78.1833,48.15,87,100,0.81
218,Avera,US,1616296367,33.194,-82.5271,51.8,54,90,11.5
219,Coahuayana Viejo,MX,1616296164,18.7333,-103.6833,70.18,76,0,1.66
220,Dikson,RU,1616296126,73.5069,80.5464,-20.38,77,18,15.57
221,Ust-Nera,RU,1616296368,64.5667,143.2,4.93,90,99,4.41
222,Shizunai-furukawachō,JP,1616296368,42.3339,142.3669,37.35,82,100,13.38
223,Atar,MR,1616296368,20.5169,-13.0499,66.47,17,0,10.0
224,Hong Kong,HK,1616295963,22.2855,114.1577,73.99,75,97,1.99
225,Bayir,TR,1616296369,37.2687,28.2167,48.2,93,0,1.14
226,Biloela,AU,1616296369,-24.4167,150.5,86.56,57,99,12.59
227,Puerto Quijarro,BO,1616296369,-17.7833,-57.7667,73.51,96,99,1.14
228,Vao,NC,1616296149,-22.6667,167.4833,76.32,75,5,16.82
229,Magán,ES,1616296370,39.9683,-3.931,35.6,55,0,2.3
230,Maniitsoq,GL,1616296369,65.4167,-52.9,23.74,78,98,7.65
231,Karratha,AU,1616296371,-20.7377,116.8463,85.14,41,0,17.56
232,Nidzica,PL,1616296372,53.3605,20.4275,28.4,80,75,13.8
233,Nanortalik,GL,1616296135,60.1432,-45.2371,29.55,87,100,24.09
234,Parakan,ID,1616296372,-6.4191,106.0081,89.01,66,36,5.7
235,Bonthe,SL,1616296372,7.5264,-12.505,76.3,79,2,5.08
236,Maţāy,EG,1616296372,28.419,30.7792,69.4,29,4,1.77
237,Stornoway,GB,1616296373,58.2093,-6.3865,44.01,87,90,4.61
238,Sibolga,ID,1616296118,1.7427,98.7792,85.91,63,100,1.74
239,Saint Anthony,US,1616296115,45.0205,-93.218,52.0,40,1,18.41
240,Beringovskiy,RU,1616296137,63.05,179.3167,1.51,90,100,11.5
241,Cidreira,BR,1616296373,-30.1811,-50.2056,76.86,88,38,15.57
242,Camacha,PT,1616296373,33.0833,-16.3333,59.0,67,75,8.05
243,Hasaki,JP,1616296358,35.7333,140.8333,64.4,94,75,18.41
244,Olafsvik,IS,1616296374,64.8945,-23.7142,41.67,81,100,30.11
245,Hualmay,PE,1616296374,-11.0964,-77.6139,71.37,76,98,7.81
246,Bolotnoye,RU,1616296374,55.6717,84.3981,32.18,94,100,18.77
247,Forsytheganj,BY,1616296375,52.6333,29.7333,26.96,59,99,11.97
248,Saskylakh,RU,1616296150,71.9167,114.0833,-30.78,94,53,8.41
249,Harlingen,US,1616296375,26.1906,-97.6961,62.01,82,1,10.36
250,Liwale,TZ,1616296375,-9.7667,37.9333,67.64,98,10,0.6
251,Laas,IT,1616296376,46.6166,10.7002,30.0,79,0,10.36
252,Metetí,PA,1616296376,8.4983,-77.9786,73.47,89,100,3.47
253,São João da Barra,BR,1616296335,-21.6403,-41.0511,75.65,86,0,8.99
254,Kloulklubed,PW,1616296376,7.0419,134.2556,87.8,66,75,13.8
255,Supe,PE,1616296377,-10.8,-77.7333,70.57,80,100,5.61
256,Te Anau,NZ,1616296315,-45.4167,167.7167,63.72,61,13,2.26
257,Lata,PT,1616296377,40.1629,-8.3327,50.0,87,0,6.91
258,Oriximiná,BR,1616296160,-1.7656,-55.8661,75.42,90,69,2.15
259,Clyde River,CA,1616296334,70.4692,-68.5914,-25.6,75,1,3.44
260,Aksarka,RU,1616296377,66.5606,67.7975,-13.36,93,100,11.45
261,Aykhal,RU,1616296378,66.0,111.5,-27.92,97,100,36.1
262,Departamento de Maldonado,UY,1616296378,-34.6667,-54.9167,68.0,94,75,13.8
263,Tocopilla,CL,1616296378,-22.092,-70.1979,67.51,80,4,7.83
264,Kaputa,ZM,1616296378,-8.4689,29.6619,65.95,88,2,1.19
265,Mahébourg,MU,1616296106,-20.4081,57.7,78.8,89,40,10.36
266,Inhambane,MZ,1616296161,-23.865,35.3833,69.8,100,75,6.91
267,Tezu,IN,1616296379,27.9167,96.1667,93.0,21,90,0.83
268,Luleå,SE,1616296379,65.5842,22.1547,33.8,80,90,28.77
269,Løding,NO,1616296379,67.3,14.75,30.99,74,75,18.41
270,Punta Alta,AR,1616296380,-38.8759,-62.0736,63.39,62,0,9.24
271,Aksu,CN,1616296380,41.1231,80.2644,44.71,34,66,3.04
272,São Gabriel da Cachoeira,BR,1616296380,-0.1303,-67.0892,73.47,94,91,1.28
273,Badiraguato,MX,1616296380,25.3667,-107.5167,71.6,49,1,2.59
274,Ambatofinandrahana,MG,1616296381,-20.55,46.8,58.82,96,3,2.26
275,Xam Nua,LA,1616296381,20.4197,104.0439,74.01,77,98,3.62
276,Asău,RO,1616296381,46.4333,26.4,28.99,66,75,1.61
277,Tonstad,NO,1616296382,58.6626,6.7169,37.99,78,71,14.0
278,Lucapa,AO,1616296382,-8.4192,20.7447,66.56,94,100,2.21
279,Sakaiminato,JP,1616296145,35.55,133.2333,51.8,93,75,8.05
280,Lagoa,PT,1616296382,39.05,-27.9833,57.7,76,100,13.6
281,Sirmaur,IN,1616296383,24.85,81.3833,84.72,21,0,5.03
282,Kendal,GB,1616296383,54.3268,-2.7476,42.01,97,78,3.58
283,Kumul,CN,1616296383,42.8,93.45,45.86,11,0,6.55
284,Guerrero Negro,MX,1616296121,27.9769,-114.0611,61.81,75,0,16.91
285,Tommot,RU,1616296384,58.9564,126.2925,24.8,77,100,11.88
286,Ahipara,NZ,1616296156,-35.1667,173.1667,67.93,58,84,7.36
287,Grand Gaube,MU,1616296384,-20.0064,57.6608,81.0,82,3,5.99
288,Raudeberg,NO,1616296384,61.9875,5.1352,35.01,87,100,18.01
289,Sungai Penuh,ID,1616296384,-2.0833,101.3833,79.2,62,65,1.5
290,Chokurdakh,RU,1616296122,70.6333,147.9167,-8.41,92,4,4.74
291,Samarai,PG,1616296385,-10.6167,150.6667,84.54,74,97,10.54
292,Boyolangu,ID,1616296115,-8.1181,111.8935,85.69,65,1,5.86
293,Narsaq,GL,1616296385,60.9167,-46.05,30.2,93,90,14.97
294,Cayenne,GF,1616296348,4.9333,-52.3333,79.0,94,20,7.45
295,Eyl,SO,1616296385,7.9803,49.8164,73.18,86,21,8.66
296,Rome,US,1616296337,43.2128,-75.4557,28.99,74,1,0.51
297,Taiyuan,CN,1616296386,37.8694,112.5603,37.4,22,0,4.47
298,Saint-Pierre,RE,1616296386,-21.3393,55.4781,77.0,78,0,6.91
299,Marsh Harbour,BS,1616296386,26.5412,-77.0636,74.46,75,7,6.82
300,Alakurtti,RU,1616296387,66.9672,30.3491,26.01,91,100,4.0
301,Tumut,AU,1616296387,-35.3,148.2167,68.0,73,90,25.32
302,Terra Santa,BR,1616296271,-2.1042,-56.4869,75.94,92,95,2.17
303,Ulaangom,MN,1616296387,49.9811,92.0667,11.97,88,81,3.06
304,Chongwe,ZM,1616296387,-15.3292,28.682,60.8,100,0,2.3
305,Norrtälje,SE,1616296388,59.758,18.705,37.4,52,0,17.27
306,São Paulo de Olivença,BR,1616296273,-3.3783,-68.8725,71.92,92,93,1.59
307,San Luis Obispo,US,1616296388,35.3666,-120.5343,52.0,81,1,13.8
308,Tabatinga,BR,1616296388,-4.2525,-69.9381,75.2,100,20,3.44
309,Carberry,CA,1616296389,49.8689,-99.3602,48.2,61,90,8.05
310,Minuri,PH,1616296389,16.535,121.8574,84.31,76,34,0.96
311,Novonikolayevskaya,RU,1616296389,45.5892,38.3689,35.01,90,94,1.99
312,Presidencia Roque Sáenz Peña,AR,1616296390,-26.7852,-60.4388,68.0,96,62,1.99
313,Powell River,CA,1616296331,49.8496,-124.5361,44.6,65,90,11.5
314,Biak,ID,1616296390,-0.9131,122.8766,85.01,66,91,2.21
315,Port Hueneme,US,1616296206,34.1478,-119.1951,57.2,76,1,18.41
316,Gao,ML,1616296323,16.6362,1.637,76.1,19,92,4.74
317,Kalmunai,LK,1616296390,7.4167,81.8167,81.73,75,56,2.19
318,Melbourne,US,1616296391,28.0836,-80.6081,57.2,88,90,13.8
319,Touros,BR,1616296391,-5.1989,-35.4608,75.2,88,20,3.44
320,Yeppoon,AU,1616296391,-23.1333,150.7333,86.0,62,75,12.66
321,Cockburn Town,TC,1616296392,21.4612,-71.1419,76.5,80,0,20.13
322,Bahía Blanca,AR,1616296351,-38.7196,-62.2724,62.19,61,0,5.61
323,Aragarças,BR,1616296392,-15.8975,-52.2508,71.8,91,3,1.74
324,Lázaro Cárdenas,MX,1616296392,17.9583,-102.2,74.89,75,0,4.85
325,La Ciotat,FR,1616296393,43.1748,5.6045,41.0,80,0,8.05
326,Port Hedland,AU,1616296393,-20.3167,118.5667,82.4,51,40,14.97
327,Lamont,US,1616296393,35.2597,-118.9143,57.0,51,0,5.01
328,Taitung City,TW,1616296393,22.7583,121.1444,78.8,69,75,14.97
329,Padang,ID,1616296394,-0.9492,100.3543,86.0,70,20,3.44
330,Trat,TH,1616296394,12.5,102.5,90.0,79,20,2.3
331,Saurimo,AO,1616296394,-9.6608,20.3916,64.36,91,99,2.8
332,Souillac,MU,1616296394,-20.5167,57.5167,78.8,89,40,10.36
333,Alta Floresta,BR,1616296395,-9.8756,-56.0861,71.37,96,100,2.44
334,Pevek,RU,1616296395,69.7008,170.3133,-18.98,92,6,1.66
335,Klaksvík,FO,1616296112,62.2266,-6.589,42.8,75,75,18.41
336,Opuwo,NA,1616296395,-18.0607,13.84,67.51,89,99,1.16
337,Ruma,RS,1616296396,45.0081,19.8222,33.01,93,0,4.61
338,Altay,CN,1616296396,47.8667,88.1167,34.09,42,66,1.66
339,Fairbanks,US,1616296144,64.8378,-147.7164,18.0,41,1,11.5
340,Cherskiy,RU,1616296109,68.75,161.3,-6.11,80,0,4.29
341,Malanje,AO,1616296109,-9.5402,16.341,65.68,96,100,3.13
342,Alofi,NU,1616296132,-19.0595,-169.9187,77.0,83,100,8.05
343,Road Town,VG,1616296396,18.4167,-64.6167,75.99,86,0,8.01
344,Troy,US,1616296257,42.6056,-83.1499,41.0,33,1,5.12
345,Gáldar,ES,1616296397,28.147,-15.6502,64.0,72,90,23.02
346,Brae,GB,1616296397,60.3964,-1.353,41.0,81,90,4.61
347,Ngaoundéré,CM,1616296397,7.3167,13.5833,66.65,89,100,3.58
348,Townsville,AU,1616296244,-19.25,146.8,89.6,66,40,12.66
349,Newcastleton,GB,1616296398,55.1796,-2.8127,39.2,93,20,2.3
350,Baykit,RU,1616296132,61.67,96.37,-10.23,92,100,9.66
351,Manadhoo,MV,1616296398,5.7667,73.3833,83.19,70,56,8.55
352,Comodoro Rivadavia,AR,1616296398,-45.8667,-67.5,51.8,82,0,10.67
353,Peabiru,BR,1616296399,-23.9128,-52.3431,69.6,95,35,3.02
354,Härnösand,SE,1616296399,62.6323,17.9379,35.6,55,0,27.63
355,Surin,TH,1616296399,14.8818,103.4936,96.01,52,82,10.49
